extra_1,ошибки,домен,домен_корр,бе,бе_корр,цфо,мвз,суперпродукт,продукт_1с_ух,фин_клиент,ключевой_клиент,направление,екдр,pl_ручной_ввод,статья_pl,организация,домен_от_контрагента,бе_от_контрагента,контрагент,l_контрагент_1с_ух,id_сделки,бизнес_категория,проект,l_проект_1с_ух,проект_1с_ух_наименование,тип_проекта_1с_ух,комментарий,отв,ставка_ндс,не_рассчитывать_cf,cf_поквартально,cf_в_каком_месяце_признавать,смещение_сумм_cf_мес,pl_jan,pl_feb,pl_mar,pl_apr,pl_may,pl_jun,pl_jul,pl_aug,pl_sep,pl_oct,pl_nov,pl_dec,pl_fy,статья_cf_кодификатор,статья_cf_корректировка,статья_cf,cf_jan,cf_feb,cf_mar,cf_apr,cf_may,cf_jun,cf_jul,cf_aug,cf_sep,cf_oct,cf_nov,cf_dec,cf_fy,extra_64,extra_65,extra_66,extra_67,extra_68
#946,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент процессинга,Департамент процессинга,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,"11030700 | Услуги связи (интернет, мобильная связь, почта и другие)",\N,"11030700 | Услуги связи (интернет, мобильная связь, почта и другие)","ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,Договор № SSP240229OL1 от 26___03___2024,Договор № SSP240229OL1 от 26___03___2024,Прочий сервис,Аренда каналов связи для АТМ ВТБ,\N,0.22,true,false,\N,0,29708333.333333,29708333.333333,29708333.333333,29708333.333333,29708333.333333,29708333.333333,29708333.333333,29708333.333333,29708333.333333,29708333.333333,29708333.333333,29708333.333333,356500000,\N,"CF02080000|Услуги связи (интернет, мобильная связь, почта и другие)","CF02080000|Услуги связи (интернет, мобильная связь, почта и другие)",36244166.666667,36244166.666667,36244166.666667,36244166.666667,36244166.666667,36244166.666667,36244166.666667,36244166.666667,36244166.666667,36244166.666667,36244166.666667,36244166.666667,434930000,11030000,CF02080000,297083333.3333301,362441666.6666699,CF02
#947,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент процессинга,Департамент процессинга,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,"11030700 | Услуги связи (интернет, мобильная связь, почта и другие)",\N,"11030700 | Услуги связи (интернет, мобильная связь, почта и другие)","ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,Договор № SSP240229OL1 от 26___03___2024,Договор № SSP240229OL1 от 26___03___2024,Прочий сервис,Подключение каналов связи АТМ ВТБ,\N,0.22,true,false,\N,0,670833.33333333,670833.33333333,670833.33333333,670833.33333333,670833.33333333,670833.33333333,670833.33333333,670833.33333333,670833.33333333,670833.33333333,670833.33333333,670833.33333333,8050000,\N,"CF02080000|Услуги связи (интернет, мобильная связь, почта и другие)","CF02080000|Услуги связи (интернет, мобильная связь, почта и другие)",818416.66666667,818416.66666667,818416.66666667,818416.66666667,818416.66666667,818416.66666667,818416.66666667,818416.66666667,818416.66666667,818416.66666667,818416.66666667,818416.66666667,9821000,11030000,CF02080000,6708333.333333301,8184166.666666699,CF02
#948,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент процессинга,Департамент процессинга,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,11020100 | Расходы на покупку оборудования для перепродажи,\N,11020100 | Себестоимость оборудования для перепродажи,"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,Договор № SSP240229OL1 от 26___03___2024,Договор № SSP240229OL1 от 26___03___2024,Прочий сервис,маршрутизаторы NSG (текущие потребности),\N,0.22,true,false,\N,0,0,0,0,0,0,4166666.6666667,0,0,7291666.6666667,7291666.6666667,7291666.6666667,7291666.6666667,33333333.333333,\N,"CF02020100|Платежи за покупку оборудования для перепродажи, кроме продажи ПАК","CF02020100|Платежи за покупку оборудования для перепродажи, кроме продажи ПАК",0,0,0,0,0,5083333.3333333,0,0,35583333.333333,0,0,0,40666666.666667,11020000,CF02020000,33333333.3333335,40666666.6666663,CF02
#949,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент процессинга,Департамент процессинга,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,"11030700 | Услуги связи (интернет, мобильная связь, почта и другие)",\N,"11030700 | Услуги связи (интернет, мобильная связь, почта и другие)","ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,Договор № SSP240229OL1 от 26___03___2024,Договор № SSP240229OL1 от 26___03___2024,Прочий сервис,магистральные каналы,\N,0.22,true,false,\N,0,2395833.3333333,2395833.3333333,2395833.3333333,2395833.3333333,2395833.3333333,2395833.3333333,2395833.3333333,2395833.3333333,2395833.3333333,2395833.3333333,2395833.3333333,2395833.3333333,28750000,\N,"CF02080000|Услуги связи (интернет, мобильная связь, почта и другие)","CF02080000|Услуги связи (интернет, мобильная связь, почта и другие)",2922916.6666667,2922916.6666667,2922916.6666667,2922916.6666667,2922916.6666667,2922916.6666667,2922916.6666667,2922916.6666667,2922916.6666667,2922916.6666667,2922916.6666667,2922916.6666667,35075000,11030000,CF02080000,23958333.333332997,29229166.666667007,CF02
#950,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент процессинга,Департамент процессинга,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,"11030700 | Услуги связи (интернет, мобильная связь, почта и другие)",\N,"11030700 | Услуги связи (интернет, мобильная связь, почта и другие)","ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,Договор № SSP240229OL1 от 26___03___2024,Договор № SSP240229OL1 от 26___03___2024,Прочий сервис,Организация каналов связи и замена коммуникационного оборудования,\N,0.22,true,false,\N,0,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,3000000,\N,"CF02080000|Услуги связи (интернет, мобильная связь, почта и другие)","CF02080000|Услуги связи (интернет, мобильная связь, почта и другие)",305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,3660000,11030000,CF02080000,2500000,3050000,CF02
#951,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент процессинга,Департамент процессинга,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,"11030700 | Услуги связи (интернет, мобильная связь, почта и другие)",\N,"11030700 | Услуги связи (интернет, мобильная связь, почта и другие)","ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,МУЛЬТИКАРТА_11_АВТОРИЗАЦИИ,МУЛЬТИКАРТА_11_АВТОРИЗАЦИИ,Процессинг,SMS-информирование,\N,0.22,true,false,\N,0,6505333,6505333,6505333,6505333,6505333,6505333,6505333,6505333,6505333,6505333,6505333,6505333,78063996,\N,"CF02080000|Услуги связи (интернет, мобильная связь, почта и другие)","CF02080000|Услуги связи (интернет, мобильная связь, почта и другие)",7936507,7936507,7936507,7936507,7936507,7936507,7936507,7936507,7936507,7936507,7936507,7936507,95238084,11030000,CF02080000,65053330,79365070,CF02
#952,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент процессинга,Департамент процессинга,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,"11030700 | Услуги связи (интернет, мобильная связь, почта и другие)",\N,"11030700 | Услуги связи (интернет, мобильная связь, почта и другие)","ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,Договор № SSP240229OL1 от 26___03___2024,Договор № SSP240229OL1 от 26___03___2024,Прочий сервис,Аренда каналов связи для POS-терминалов,\N,0.22,true,false,\N,0,2875000,2875000,2875000,2875000,2875000,2875000,2875000,2875000,2875000,2875000,2875000,2875000,34500000,\N,"CF02080000|Услуги связи (интернет, мобильная связь, почта и другие)","CF02080000|Услуги связи (интернет, мобильная связь, почта и другие)",3507500,3507500,3507500,3507500,3507500,3507500,3507500,3507500,3507500,3507500,3507500,3507500,42090000,11030000,CF02080000,28750000,35075000,CF02
#953,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент процессинга,Департамент процессинга,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,"11030700 | Услуги связи (интернет, мобильная связь, почта и другие)",\N,"11030700 | Услуги связи (интернет, мобильная связь, почта и другие)","ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,Договор № SSP240229OL1 от 26___03___2024,Договор № SSP240229OL1 от 26___03___2024,Прочий сервис,Телефония Customer Support,\N,0.22,true,false,\N,0,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,250000,3000000,\N,"CF02080000|Услуги связи (интернет, мобильная связь, почта и другие)","CF02080000|Услуги связи (интернет, мобильная связь, почта и другие)",305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,305000,3660000,11030000,CF02080000,2500000,3050000,CF02
#954,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент процессинга,Департамент процессинга,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,"11030700 | Услуги связи (интернет, мобильная связь, почта и другие)",\N,"11030700 | Услуги связи (интернет, мобильная связь, почта и другие)","ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,Договор № SSP240229OL1 от 26___03___2024,Договор № SSP240229OL1 от 26___03___2024,Прочий сервис,Расходные материалы ОСПД,\N,0.22,true,false,\N,0,166666.66666667,166666.66666667,166666.66666667,166666.66666667,166666.66666667,166666.66666667,166666.66666667,166666.66666667,166666.66666667,166666.66666667,166666.66666667,166666.66666667,2000000,\N,"CF02080000|Услуги связи (интернет, мобильная связь, почта и другие)","CF02080000|Услуги связи (интернет, мобильная связь, почта и другие)",203333.33333333,203333.33333333,203333.33333333,203333.33333333,203333.33333333,203333.33333333,203333.33333333,203333.33333333,203333.33333333,203333.33333333,203333.33333333,203333.33333333,2440000,11030000,CF02080000,1666666.6666667,2033333.3333333,CF02
#955,Не заполнен Фин.клиент | Не заполнен контрагент |,Домен Иннотех,\N,БЕ Мультикарта,\N,Департамент процессинга,Департамент процессинга,ПРОЦЕССИНГ,Нет продукта,\N,\N,Банк,"11030700 | Услуги связи (интернет, мобильная связь, почта и другие)",\N,"11030700 | Услуги связи (интернет, мобильная связь, почта и другие)","ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,Процессинг,\N,Договор № SSP240229OL1 от 26___03___2024,Договор № SSP240229OL1 от 26___03___2024,Прочий сервис,отделения ПБ,\N,0.22,true,false,\N,0,2000000,2000000,2000000,2000000,2000000,2000000,0,0,0,0,0,0,12000000,\N,"CF02080000|Услуги связи (интернет, мобильная связь, почта и другие)","CF02080000|Услуги связи (интернет, мобильная связь, почта и другие)",2440000,2440000,2440000,2440000,2440000,2440000,0,0,0,0,0,0,14640000,11030000,CF02080000,8000000,9760000,CF02
