номер_документа,дата_документа,вид_операции,контрагент,инн_контрагента,кпп_контрагента,договор,номер_договора,регистрационный_номер_договора,дата_регистрации_договора,цфо_договор,статья_ддс,статья_начисления,внутренний_номер_в_до,источник_договора,валюта_документа,п_п,номенклатура,содержание_услуги,этап_проекта_документ,цфо_документ,ндс,ндс_2,сумма,сумма_включает_ндс,счет_доходов,номенклатурная_группа,счет_затрат,номенклатурная_группа_2,статьи_затрат
"ООО ""МУЛЬТИКАРТА""",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
"Поступление (акт, накладная, УПД) МКУХ-004929 от 01.03.2026 0:00:00",Отражение фактических данных МКУХ-002317 от 01.03.2026 0:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-004929,01.03.2026 0:00:00,Услуги,Т2 МОБАЙЛ ООО (КПП 775101001),7743895280,775101001,Договор об оказании услуг связи №50599532 от 01.01.2016,50599532,MK24-10-38-LC,22.10.2024 15:41:21,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000169999,ДО,руб.,1,Услуги от поставщика,Услуги связи интернет,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,12134.26,67290,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005071 от 01.03.2026 0:00:00",Отражение фактических данных МКУХ-003499 от 01.03.2026 0:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005071,01.03.2026 0:00:00,Услуги,"Самарский филиал ПАО ""Ростелеком"" КПП631543001",7707049388,631543001,Договор №В-430-11 от 01.09.2011г.,\N,\N,\N,\N,\N,\N,\N,\N,руб.,1,Услуги от поставщиков / подрядчиков,аб.плата за услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,6160.69,34163.74,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-004769 от 01.03.2026 0:00:00",Отражение фактических данных МКУХ-002220 от 01.03.2026 0:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-004769,01.03.2026 0:00:00,Услуги,ПОЧТА РОССИИ АО УФПС Г. САНКТ-ПЕТЕРБУРГА И ЛЕНИНГРАДСКОЙ ОБЛАСТИ (контрагент МК),7724490000,783843001,Оплата без договора,б/н,\N,\N,\N,\N,\N,\N,УХ,руб.,1,Услуги от поставщиков / подрядчиков,\N,Мультикарта_Операционный блок_Мультикарта_Бюджет МВЗ,Административный департамент ЦСП,22%,192.59,1068,Да,\N,\N,26,"Услуги связи (интернет, мобильная связь, почта и другие) (22030600)",\N
"Поступление (акт, накладная, УПД) МКУХ-004838 от 01.03.2026 0:00:00",Отражение фактических данных МКУХ-002239 от 01.03.2026 0:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-004838,01.03.2026 0:00:00,Услуги,"Макрорегиональный филиал ""Центр"" ПАО ""Ростелеком""",7707049388,773443001,Договор IN/FP-1526-08 от 29.10.2008г.,IN/FP-1526-08,4095/МК,29.10.2008 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000147628,ДО,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,1943.14,10775.6,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-004948 от 01.03.2026 0:00:00",Отражение фактических данных МКУХ-002237 от 01.03.2026 0:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-004948,01.03.2026 0:00:00,Услуги,"Макрорегиональный филиал ""Центр"" ПАО ""Ростелеком""",7707049388,773443001,Договор №12241СМS/21 от 06.10.2021,\N,\N,\N,\N,\N,\N,\N,\N,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,54824,304024,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-004797 от 01.03.2026 0:00:00",Отражение фактических данных МКУХ-002234 от 01.03.2026 0:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-004797,01.03.2026 0:00:00,Услуги,ВАЙНАХ ТЕЛЕКОМ АО,2005503932,201401001,Договор №3826ДОУПД-ЮЛ-АО от 08.02.19,3826 ДОУПД-ЮЛ-АО,6561/МК,27.06.2019 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000147738,ДО,руб.,1,Услуги от поставщика,Услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,28690.03,159100,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-004896 от 01.03.2026 0:00:00",Отражение фактических данных МКУХ-002247 от 01.03.2026 0:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-004896,01.03.2026 0:00:00,Услуги,ПЛАТЕЖНЫЙ ООО,7701870710,770101001,Договор №МК17-056 от 12.07.2017,МК17-056,10160/МК,19.10.2017 0:00:00,Блок развития бизнеса_Мультикарта,CF02010400 Услуги по сопровождению/поддержке клиентов,Услуги по сопровождению/поддержке клиентов,00ДО-0000150887,ДО,руб.,1,Услуги по Договору,"ИТ-сопровождение,  IPSP",МУЛЬТИКАРТА_11_IPSP,Центр сопровождения клиентов,Без НДС,\N,113297.41,Да,\N,\N,20.01,ПР: авторизации,Прочий субподряд (11020410)
"Поступление (акт, накладная, УПД) МКУХ-004930 от 01.03.2026 0:00:00",Отражение фактических данных МКУХ-002322 от 01.03.2026 0:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-004930,01.03.2026 0:00:00,Услуги,Т2 МОБАЙЛ ООО (КПП 775101001),7743895280,775101001,Договор об оказании услуг связи №50599532 от 01.01.2016,50599532,MK24-10-38-LC,22.10.2024 15:41:21,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000169999,ДО,руб.,1,Услуги от поставщика,Услуги связи интернет,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,166648.29,924140.49,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-004834 от 01.03.2026 0:00:00",Отражение фактических данных МКУХ-002232 от 01.03.2026 0:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-004834,01.03.2026 0:00:00,Услуги,УПТС-ВОРКУТА ООО,1103042163,110301001,Договор №37152 от 07.05.2015г.,\N,\N,\N,\N,\N,\N,\N,\N,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,2610.52,14476.52,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005238 от 01.03.2026 0:00:00",Отражение фактических данных МКУХ-002367 от 01.03.2026 0:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005238,01.03.2026 0:00:00,Услуги,КОМПАНИЯ ТРАНСТЕЛЕКОМ АО,7709219099,775050001,Договор №MS006399 на предоставление услуг связи от 30.01.2014,MS006399,MK24-11-47-LC,18.11.2024 9:20:50,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000172839,ДО,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи - подключение,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,3300,18300,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005239 от 01.03.2026 0:00:00",Отражение фактических данных МКУХ-002366 от 01.03.2026 0:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005239,01.03.2026 0:00:00,Услуги,КОМПАНИЯ ТРАНСТЕЛЕКОМ АО,7709219099,775050001,Договор №MS006399 на предоставление услуг связи от 30.01.2014,MS006399,MK24-11-47-LC,18.11.2024 9:20:50,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000172839,ДО,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи - подключение,Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,3300,18300,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005229 от 01.03.2026 0:00:00",Отражение фактических данных МКУХ-002373 от 01.03.2026 0:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
МКУХ-005229,01.03.2026 0:00:00,Услуги,ЭР-ТЕЛЕКОМ ХОЛДИНГ АО КПП 590501001,5902202276,590501001,Договор IZH00610 от 15.03.2011(Престиж-Интернет),IZH00610,2156/МК,05.05.2011 0:00:00,Департамент процессинга,"CF02080000 Услуги связи (интернет, мобильная связь, почта и другие)","Услуги связи (интернет, мобильная связь, почта и другие)",00ДО-0000148715,ДО,руб.,1,Услуги от поставщиков / подрядчиков,услуги связи ( предоставление доступа),Договор № SSP240229OL1 от 26.03.2024,Департамент процессинга,22%,80267.66,445120.66,Да,\N,\N,20.01,Обеспечение передачи данных фронтальной сети (связь),"Услуги связи (интернет, мобильная связь, почта и другие) (11030700)"
"Поступление (акт, накладная, УПД) МКУХ-005322 от 01.03.2026 0:00:00",Отражение фактических данных МКУХ-002605 от 01.03.2026 0:00:00,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N
