employee_id,snapshot_date,hire_date,termination_date,attrition_90d,contact_center,project,team,tenure_months,shift_type,workload_pct,overtime_hours_30d,absence_days_90d,late_shifts_90d,schedule_adherence_pct,productivity_score,quality_score,csat_score,engagement_score,manager_changed_90d,training_hours_90d,exit_reason
SYN-00001,2024-05-12,2022-03-24,,0,Казань,Продажи,Команда 07,26,Смешанная,88.46,9.14,1,0,94.5,83.89,85.33,4.38,66.55,0,3.64,
SYN-00002,2024-12-01,2019-12-28,,0,Москва,Удержание,Команда 02,60,Дневная,87.27,1.74,0,1,96.19,75.68,94.98,4.09,69.8,0,9.08,
SYN-00003,2024-12-20,2022-03-06,,0,Омск,Поддержка,Команда 12,34,Смешанная,90.91,18.15,2,0,91.67,89.14,89.36,3.81,86.34,0,0,
SYN-00004,2024-04-14,2022-01-25,,0,Москва,Удержание,Команда 08,27,Смешанная,81.38,18.15,4,0,89.48,83.12,76.8,4.24,65.01,0,2.73,
SYN-00005,2025-06-21,2021-11-09,,0,Казань,Удержание,Команда 05,44,Дневная,90.58,21.48,3,2,91.38,100,90.92,4.68,73.8,0,12.98,
SYN-00006,2025-03-13,2024-12-13,,0,Казань,Удержание,Команда 05,3,Дневная,112.82,29.44,2,0,100,64.49,76.4,4.41,52.59,0,1.77,
SYN-00007,2024-08-11,2022-02-23,,0,Омск,Продажи,Команда 09,30,Дневная,91.12,9.2,0,2,96.87,77.88,90.33,4.39,74.55,0,8.49,
SYN-00008,2025-08-14,2022-07-01,,0,Казань,Поддержка,Команда 11,38,Ночная,89.47,6.44,10,1,71.97,63.65,90.72,4.26,87.98,0,8.75,
SYN-00009,2024-01-19,2020-03-10,,0,Омск,Поддержка,Команда 08,47,Ночная,95.99,0,2,0,97.58,80.46,75.39,4.81,79.3,0,11.08,
SYN-00010,2024-03-17,2020-10-04,2024-04-09,1,Омск,Продажи,Команда 12,42,Дневная,81.27,7.93,0,1,91.75,90.89,74.01,4.99,71.19,1,16.31,Смена работодателя
SYN-00011,2024-08-09,2023-04-17,,0,Москва,Поддержка,Команда 10,16,Смешанная,92.77,4.76,0,0,99.38,67.69,86.43,3.66,56.33,0,7.51,
SYN-00012,2024-04-01,2023-03-08,2024-06-01,1,Омск,Поддержка,Команда 03,13,Ночная,76.99,21.87,0,1,91.24,84.76,82.64,4.03,45.88,0,0.99,Низкая вовлечённость
SYN-00013,2026-03-19,2024-04-28,,0,Омск,Продажи,Команда 08,23,Дневная,78.64,12.37,0,1,89.72,87.85,91.39,3.82,65.72,0,17.43,
SYN-00014,2025-09-12,2020-12-07,,0,Казань,Удержание,Команда 05,58,Дневная,92.53,8.1,4,0,87.83,94.83,78.94,3.86,83.34,0,6.79,
SYN-00015,2024-02-10,2022-09-18,2024-02-29,1,Омск,Удержание,Команда 08,17,Дневная,84.82,7.94,0,0,88.06,95.64,92.38,4.43,61.75,1,14.91,Смена графика
SYN-00016,2026-02-19,2025-04-25,,0,Москва,Продажи,Команда 10,10,Дневная,99.92,7.74,0,1,93.54,73.76,82.23,4.39,52.51,1,20.82,
SYN-00017,2025-07-06,2024-05-12,,0,Казань,Продажи,Команда 10,14,Смешанная,99.38,11.98,3,0,94.03,85.73,80.97,4.0,84.34,0,3.34,
SYN-00018,2024-01-17,2020-09-04,2024-01-25,1,Москва,Продажи,Команда 06,41,Дневная,88.08,12.34,5,4,83.74,86.67,82.29,4.68,64.39,0,3.98,Смена графика
SYN-00019,2024-09-18,2020-12-08,,0,Казань,Продажи,Команда 02,46,Ночная,73.07,13.04,1,1,92.89,93.89,76.43,4.19,68.75,0,5.66,
SYN-00020,2024-11-06,2023-05-16,2025-01-10,1,Омск,Удержание,Команда 12,18,Дневная,76.81,14.99,8,0,73.63,80.32,87.89,4.39,73.61,1,10.31,Личные причины
SYN-00021,2024-06-20,2024-04-21,,0,Казань,Удержание,Команда 03,2,Ночная,64.78,36.42,7,2,86.98,75.27,87.37,4.78,52.46,0,11.11,
SYN-00022,2024-01-19,2021-12-30,,0,Омск,Удержание,Команда 11,25,Дневная,100.09,13.74,0,4,89.75,82.92,90.48,4.79,60.5,0,7.75,
SYN-00023,2026-01-06,2022-02-26,,0,Москва,Удержание,Команда 05,47,Дневная,94.35,10.03,0,0,98.93,85.06,90.55,4.13,75.18,0,7.77,
SYN-00024,2024-01-12,2023-01-17,2024-02-18,1,Омск,Удержание,Команда 06,12,Смешанная,90.31,0.46,3,7,84.15,73.23,98.41,4.97,63.04,0,10.08,Смена графика
SYN-00025,2025-01-04,2021-07-24,2025-01-25,1,Москва,Продажи,Команда 04,42,Смешанная,98.63,22.34,6,0,88.64,80.68,79.52,3.99,63.31,1,19.47,Личные причины
SYN-00026,2025-12-05,2024-01-15,,0,Омск,Удержание,Команда 06,23,Смешанная,75.24,8.37,1,1,90.59,73.79,93.7,4.25,60.37,0,6.92,
SYN-00027,2024-10-06,2021-02-24,,0,Москва,Продажи,Команда 03,44,Смешанная,81.7,8.58,0,3,92.35,90.87,100,4.72,73.02,0,0,
SYN-00028,2024-02-04,2023-06-09,2024-04-29,1,Москва,Удержание,Команда 01,8,Смешанная,100.7,0,4,0,88.95,76.77,85.96,4.55,71.16,0,13.69,Личные причины
SYN-00029,2025-07-06,2024-02-12,,0,Казань,Продажи,Команда 09,17,Смешанная,65.56,28.31,2,0,94.4,79.68,90.13,4.19,46.47,0,3.55,
SYN-00030,2024-07-05,2023-01-12,,0,Москва,Удержание,Команда 11,18,Дневная,87.49,7.92,3,6,79.28,83.91,71.12,4.65,70.66,0,2.67,
SYN-00031,2025-10-13,2025-04-16,,0,Казань,Продажи,Команда 04,6,Смешанная,87.29,16.71,1,0,89.06,81.84,84.91,4.76,70.38,1,11.8,
SYN-00032,2024-12-08,2022-05-23,2024-12-15,1,Казань,Удержание,Команда 08,31,Ночная,108.28,18.84,2,1,93.64,76.46,86.09,4.21,75.75,0,6.05,Личные причины
SYN-00033,2024-04-08,2023-05-14,,0,Москва,Удержание,Команда 01,11,Смешанная,96.48,17.26,1,2,96.58,85.75,89.7,4.3,71.79,0,5.32,
SYN-00034,2024-12-08,2024-07-11,,0,Казань,Продажи,Команда 12,5,Дневная,106.29,13.33,0,1,89.94,89.85,86.31,4.52,42.44,1,8.02,
SYN-00035,2024-12-01,2023-06-10,,0,Москва,Удержание,Команда 08,18,Смешанная,93.23,7.28,0,0,100,73.83,75.34,4.43,88.06,0,10.42,
SYN-00036,2024-04-13,2019-05-10,,0,Казань,Продажи,Команда 05,60,Дневная,89.72,19.31,2,1,88.37,81.04,77.71,4.31,73.26,0,11.04,
SYN-00037,2024-12-03,2020-10-25,,0,Омск,Удержание,Команда 10,50,Дневная,95.49,13.98,2,1,86.91,100,95.08,3.93,59.38,0,0.95,
SYN-00038,2025-05-10,2024-12-11,,0,Казань,Поддержка,Команда 07,5,Смешанная,75.64,10.99,2,0,91.74,86.77,82.7,4.12,82.19,0,7.95,
SYN-00039,2024-02-03,2020-06-23,,0,Москва,Продажи,Команда 01,44,Смешанная,101.7,11.8,1,3,99.63,69.84,88.23,4.36,64.24,0,4.72,
